DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-07-24;25.3;9.4;15.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-07-25;26;6.1;19.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-07-26;26.3;7.4;18.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-07-27;27.6;7.4;20.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-07-28;29.4;9.3;20.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-07-29;22.3;10.1;12.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-07-30;23.5;3.8;19.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-07-31;23.7;8.9;14.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-01;25.3;8.1;17.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-02;25;7.5;17.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-03;27.2;8.8;18.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-04;24.1;11.9;12.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-05;25.9;10.1;15.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-06;25.9;15.5;10.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-07;23.5;13.4;10.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-08;25.6;8.3;17.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-09;26.8;10.4;16.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-10;28.2;9.5;18.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-11;30.3;10.1;20.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-12;28.7;12.3;16.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-13;28.2;12.2;16
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-14;29.1;12.2;16.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-15;31;13.1;17.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-16;30.4;12;18.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-17;28.8;14.3;14.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-18;30.3;13.6;16.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-19;28.5;11.8;16.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-20;28.3;10.8;17.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-21;29.7;9.5;20.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-22;29;10.5;18.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-23;30.1;10.6;19.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-24;31.3;10.6;20.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-25;30.7;11.5;19.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-26;31.3;11;20.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-27;31.5;13.5;18
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-28;28.1;17.5;10.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-29;25.9;15;10.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-30;26.9;15.4;11.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-08-31;24.4;15.4;9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-01;26.1;13.3;12.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-02;27.5;13.2;14.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-03;30.1;12.4;17.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-04;32;13.6;18.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-05;33.4;14;19.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-06;35.1;14.4;20.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-07;34.7;18.2;16.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-08;33.9;16.5;17.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-09;34.4;17.5;16.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-10;34;18.4;15.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-11;32.7;20.9;11.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-12;34;18.7;15.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-13;34.3;18.2;16.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-14;34.8;16;18.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-15;35.8;16.5;19.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-16;33.2;21.1;12.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-17;31.8;18.7;13.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-18;33.2;16.1;17.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-19;35.6;16.4;19.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-20;35.1;21.6;13.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-21;36;19.3;16.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-22;31.5;19.6;11.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-23;29.6;13.8;15.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-24;31.4;13.7;17.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-25;31;18.4;12.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-26;30.8;17.9;12.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-27;33;16.5;16.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-28;32.8;16.2;16.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-29;34.3;16.5;17.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-09-30;34.5;19.3;15.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-01;35;19.5;15.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-02;32.8;18.8;14
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-03;33.2;19.8;13.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-04;34.5;20.3;14.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-05;33.3;19.7;13.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-06;32.5;20.8;11.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-07;25.1;18.1;7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-08;27.7;18.4;9.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-09;29.8;18.1;11.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-10;23.7;17.8;5.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-11;21.4;18.3;3.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-12;28.3;15;13.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-13;29.1;15.7;13.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-14;30.5;16.4;14.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-15;29.5;18.5;11
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-16;26.7;19.6;7.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-17;28.4;19.9;8.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-18;26.9;19.2;7.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-19;26.9;18.2;8.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-20;21.4;16.1;5.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-21;25.6;14.4;11.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-22;28.6;16.1;12.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-23;30.7;16.2;14.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-24;27.4;19.9;7.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-25;28.2;18;10.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-26;28.4;18.7;9.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-27;31.3;20;11.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-28;30.9;21;9.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-29;29.5;20.4;9.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-30;29.9;18.2;11.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-10-31;24.3;18.8;5.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-01;26.3;19.2;7.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-02;28.5;17.2;11.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-03;30.6;17.6;13
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-04;32.2;18.1;14.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-05;31;18.5;12.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-06;32.9;18.2;14.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-07;32.1;19.4;12.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-08;31.4;19.2;12.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-09;30.8;18.8;12
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-10;30.8;19.6;11.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-11;23.3;19.1;4.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-12;22.7;16.4;6.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-13;24.9;14.9;10
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-14;27.7;14.1;13.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-15;28.2;15.7;12.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-16;29.2;15.3;13.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-17;31;16.7;14.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-18;26.3;17.9;8.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-19;25;19.8;5.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-20;25.9;19.6;6.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-21;24.3;18.3;6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-22;30.3;18.2;12.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-23;32.7;17.1;15.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-24;32.3;15.7;16.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-25;32.5;17;15.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-26;27.2;19.1;8.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-27;27.2;18.9;8.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-28;30.1;19.2;10.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-29;31.5;19.1;12.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-11-30;30.6;20.3;10.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-01;30.7;19.9;10.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-02;30.9;20.6;10.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-03;29.8;18.1;11.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-04;30.2;17.8;12.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-05;30.2;18.2;12
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-06;27;18.7;8.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-07;27.4;17.5;9.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-08;22.7;16.4;6.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-09;28.7;14.4;14.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-10;30.6;16.4;14.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-11;31;17.9;13.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-12;31.2;21.7;9.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-13;26.7;19.7;7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-14;27.6;20.7;6.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-15;28;20.3;7.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-16;30.4;19.6;10.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-17;23.8;19.5;4.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-18;28.5;20.2;8.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-19;26.4;19.3;7.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-20;28.2;18;10.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-21;30.2;18.1;12.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-22;32.5;18.9;13.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-23;28.5;21;7.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-24;27.9;17.8;10.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-25;29.1;17.6;11.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-26;29.8;16.3;13.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-27;31.1;17.5;13.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-28;31.1;21.2;9.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-29;29.1;19.7;9.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-30;24.2;19.2;5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2021-12-31;22;16.4;5.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-01;25.6;17.7;7.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-02;28.8;19.6;9.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-03;27.3;19.7;7.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-04;27.8;20.1;7.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-05;27;20.3;6.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-06;27.2;20.5;6.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-07;23.3;19.8;3.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-08;22.4;18.8;3.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-09;21.1;18.9;2.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-10;24.1;19.2;4.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-11;23.7;19.2;4.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-12;29.8;19.5;10.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-13;31;20;11
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-14;33.7;19.2;14.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-15;31.6;18.3;13.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-16;28.8;19.2;9.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-17;31.2;19.1;12.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-18;30;19.5;10.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-19;31.9;18.5;13.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-20;31.6;17.9;13.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-21;32.3;18.6;13.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-22;31.8;18.7;13.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-23;31.8;18.8;13
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-24;32;18.8;13.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-25;30.7;18.4;12.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-26;31;18.4;12.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-27;30.3;20.3;10
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-28;30.8;19.8;11
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-29;29.2;20.6;8.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-30;28;19.6;8.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-01-31;25.9;19.4;6.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-01;30.3;19.4;10.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-02;28.1;19.9;8.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-03;28.4;20.5;7.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-04;28.9;19.5;9.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-05;30.2;20.8;9.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-06;23.5;19.6;3.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-07;26.4;20.3;6.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-08;28;19.6;8.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-09;25.9;19;6.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-10;28.7;20.1;8.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-11;27.9;18.9;9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-12;26;19.2;6.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-13;28.4;19.2;9.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-14;30;20.2;9.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-15;28.5;20.6;7.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-16;31.4;18.2;13.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-17;29.6;18.1;11.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-18;27.4;19.1;8.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-19;28.8;19.5;9.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-20;24.3;19;5.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-21;27.7;19.8;7.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-22;30.3;18.1;12.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-23;32.1;18.2;13.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-24;32.3;18.1;14.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-25;31.8;19.9;11.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-26;31.8;18.6;13.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-27;31;18.9;12.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-02-28;31.5;19.7;11.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-01;31.5;19.2;12.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-02;31.6;17;14.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-03;31.4;17.3;14.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-04;32;17.4;14.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-05;32;18.2;13.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-06;31.1;18.3;12.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-07;31.7;16.3;15.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-08;32.4;17.6;14.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-09;31.9;16.6;15.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-10;31.6;17.7;13.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-11;32.6;17.1;15.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-12;30.4;19.4;11
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-13;30.9;20.1;10.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-14;29.6;20.1;9.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-15;32.5;19.5;13
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-16;32.2;19;13.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-17;32;18.6;13.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-18;33.1;19.4;13.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-19;32.3;20;12.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-20;32.5;16.8;15.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-21;26.6;18;8.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-22;29.2;14.8;14.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-23;30.6;16.6;14
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-24;30.9;15.9;15
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-25;31.7;17;14.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-26;33.2;17;16.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-27;34.4;18.7;15.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-28;33.6;20.6;13
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-29;31.2;18.4;12.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-30;31.8;18.4;13.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-03-31;33;18.4;14.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-01;29.6;19;10.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-02;29.9;18.7;11.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-03;28.8;19.8;9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-04;29.3;19.3;10
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-05;31.5;18.6;12.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-06;31.1;19.6;11.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-07;31.7;19.1;12.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-08;31;19.3;11.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-09;28.4;19.7;8.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-10;30.5;17.6;12.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-11;30.8;18;12.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-12;29.5;18.1;11.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-13;31.3;19.4;11.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-14;30.7;19.9;10.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-15;27.6;19;8.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-16;26.5;15.1;11.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-17;27.4;12.6;14.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-18;27.6;13.9;13.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-19;27.9;13.2;14.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-20;29;13.9;15.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-21;29.3;14.1;15.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-22;29.6;14.5;15.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-23;30.8;14;16.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-24;31.2;15;16.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-25;28.4;19.3;9.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-26;29.9;16.7;13.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-27;29;15.2;13.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-28;29.7;13.4;16.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-29;30.7;15.4;15.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-04-30;27.1;15.7;11.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-01;28.8;14.4;14.4
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-02;29.5;12.7;16.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-03;29.8;13.5;16.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-04;29.3;15.3;14
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-05;25.5;17.9;7.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-06;29.5;15.3;14.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-07;28.5;15.3;13.2
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-08;27.7;15.8;11.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-09;26;14.2;11.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-10;26.1;11.2;14.9
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-11;27.3;9.8;17.5
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-12;27.5;15.7;11.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-13;29.4;13.6;15.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-14;28.5;14.4;14.1
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-15;22.7;15;7.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-16;26;16.3;9.7
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-17;23;15.2;7.8
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-18;17.5;8.2;9.3
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-19;18.6;7;11.6
DIVINOPOLIS;A564;-20.17333332;-44.87499999;2022-05-20;21.6;4.6;17
